case,rep,wall_ms,elapsed_s,user_s,sys_s,maxrss_kb,fs_read_blocks,fs_write_blocks,output_bytes,presence,page_entries,has_more
compare_hit_1m,0,29.738,0.02,0.02,0.01,15644,0,8,3482,PRESENT,,
compare_hit_1m,1,27.193,0.02,0.03,0.00,16328,0,8,3482,PRESENT,,
compare_hit_1m,2,27.709,0.02,0.02,0.01,16352,0,8,3482,PRESENT,,
compare_hit_1m,3,27.897,0.02,0.00,0.04,17936,0,8,3482,PRESENT,,
compare_moved_1m,0,30.146,0.02,0.03,0.01,16576,0,8,3480,PRESENT,,
compare_moved_1m,1,30.738,0.02,0.02,0.01,17984,0,8,3480,PRESENT,,
compare_moved_1m,2,30.027,0.02,0.03,0.00,17612,0,8,3480,PRESENT,,
compare_moved_1m,3,28.24,0.02,0.02,0.01,14352,0,8,3480,PRESENT,,
compare_miss_1m,0,30.461,0.02,0.02,0.01,15872,0,8,3490,ABSENT_EXACT,,
compare_miss_1m,1,30.999,0.02,0.02,0.01,17556,0,8,3490,ABSENT_EXACT,,
compare_miss_1m,2,28.091,0.02,0.03,0.00,17592,0,8,3490,ABSENT_EXACT,,
compare_miss_1m,3,28.973,0.02,0.02,0.01,16400,0,8,3490,ABSENT_EXACT,,
compare_hit_16m,0,261.559,0.26,0.19,0.12,127188,0,8,3487,PRESENT,,
compare_hit_16m,1,279.28,0.27,0.19,0.13,111340,0,8,3487,PRESENT,,
compare_hit_16m,2,304.252,0.30,0.22,0.16,147812,0,8,3487,PRESENT,,
compare_hit_16m,3,279.282,0.27,0.21,0.11,127716,0,8,3487,PRESENT,,
compare_miss_16m,0,266.02,0.26,0.18,0.13,116212,0,8,3493,ABSENT_EXACT,,
compare_miss_16m,1,280.069,0.27,0.21,0.13,147284,0,8,3493,ABSENT_EXACT,,
compare_miss_16m,2,266.683,0.26,0.22,0.10,128644,0,8,3493,ABSENT_EXACT,,
compare_miss_16m,3,249.405,0.24,0.19,0.10,126924,0,8,3493,ABSENT_EXACT,,
occurrences_repeated_1m_page100,0,22.341,0.02,0.01,0.01,13568,0,16,6003,,100,True
occurrences_repeated_1m_page100,1,21.648,0.02,0.01,0.01,16740,0,16,6003,,100,True
occurrences_repeated_1m_page100,2,21.12,0.01,0.01,0.01,13920,0,16,6003,,100,True
occurrences_repeated_1m_page100,3,20.961,0.01,0.01,0.01,13744,0,16,6003,,100,True
dump_1m,0,31.185,0.02,0.02,0.01,18336,0,2736,1400268,,,
dump_1m,1,31.699,0.03,0.02,0.00,18160,0,2736,1400268,,,
dump_1m,2,32.069,0.03,0.01,0.03,17420,0,2736,1400268,,,
dump_1m,3,30.38,0.02,0.02,0.01,17568,0,2736,1400268,,,
dump_16m,0,322.343,0.32,0.25,0.13,148596,0,43696,22371788,,,
dump_16m,1,350.235,0.34,0.26,0.15,189800,0,43696,22371788,,,
dump_16m,2,447.278,0.44,0.33,0.22,148604,0,43696,22371788,,,
dump_16m,3,410.678,0.40,0.34,0.17,170160,0,43696,22371788,,,
load_1m,0,340.211,0.33,0.16,0.10,25644,0,88,197,,,
load_1m,1,330.289,0.32,0.16,0.09,26092,0,88,197,,,
load_1m,2,291.568,0.28,0.13,0.09,24704,0,88,197,,,
load_1m,3,309.404,0.30,0.15,0.08,23360,0,88,197,,,
load_16m,0,1988.351,1.98,1.63,0.57,236860,0,208,197,,,
load_16m,1,2485.975,5.40,1.95,0.79,249764,0,208,197,,,
load_16m,2,2070.539,2.06,1.79,0.56,264388,0,208,197,,,
load_16m,3,1929.341,1.92,1.54,0.52,243756,0,208,197,,,
